Match No,Date,Time,Team A,Team B,Venue
1,2023-03-04,19:30:00,GG,MIW,DY Patil Stadium
2,2023-03-05,15:30:00,RCBW,DCW,Brabourne - CCI
3,2023-03-05,19:30:00,UPW,GG,DY Patil Stadium
4,2023-03-06,19:30:00,MIW,RCBW,Brabourne - CCI
5,2023-03-07,19:30:00,DCW,UPW,DY Patil Stadium
6,2023-03-08,19:30:00,GG,RCBW,Brabourne - CCI
7,2023-03-09,19:30:00,DCW,MIW,DY Patil Stadium
8,2023-03-10,19:30:00,RCBW,UPW,Brabourne - CCI
9,2023-03-11,19:30:00,GG,DCW,DY Patil Stadium
10,2023-03-12,19:30:00,UPW,MIW,Brabourne - CCI
11,2023-03-13,19:30:00,DCW,RCBW,DY Patil Stadium
12,2023-03-14,19:30:00,MIW,GG,Brabourne - CCI
13,2023-03-15,19:30:00,UPW,RCBW,DY Patil Stadium
14,2023-03-16,19:30:00,DCW,GG,Brabourne - CCI
15,2023-03-18,15:30:00,MIW,UPW,DY Patil Stadium
16,2023-03-18,19:30:00,RCBW,GG,Brabourne - CCI
17,2023-03-20,15:30:00,GG,UPW,Brabourne - CCI
18,2023-03-20,19:30:00,MIW,DCW,DY Patil Stadium
19,2023-03-21,15:30:00,RCBW,MIW,DY Patil Stadium
20,2023-03-21,19:30:00,UPW,DCW,Brabourne - CCI
Eliminator,2023-03-24,19:30:00,TBA,TBA,DY Patil Stadium
Final,2023-03-26,19:30:00,TBA,TBA,Brabourne - CCI
